position	mod	avg_n_valid_cov	gene_id	region	half_life	mean_CPM	mean_stoich	tail_group	tail_length
5_13423577_13423578	m6A	117	AT5G35170	3'UTR	185.820247	74.4123760542276	0.017475548724898	short	7
5_4786025_4786026	m6A	92.5	AT5G14800	3'UTR	55.62000917	76.9279123201268	0.0146571021571022	short	42
3_5802713_5802714	m6A	222	AT3G17020	3'UTR	5476.984242	139.465903491914	0.113774729038351	short	30
5_2892390_2892391	m6A	14.5	AT5G09330	3'UTR	118.5522073	23.6073500923395	0.0813763687293099	long	275
1_58463_58464	m6A	107	AT1G01120	CDS	52.47684764	158.498860025228	0.0122357464135439	medium	85
1_7233424_7233425	m6A	83	AT1G20810	3'UTR	73.9609673	36.2050433150588	0.0152654363180679	medium	87
1_25045885_25045886	m6A	53.5	AT1G67080	CDS	92.78528828	27.0866081418372	0.146904430939127	medium	72
5_25387486_25387487	m6A	25	AT5G63380	3'UTR	106.1603279	13.8483903720419	0.181761400652803	short	31
3_22154476_22154477	m6A	45	AT3G59980	3'UTR	269.3684099	57.675628534074	0.022419894141814	medium	75
5_6463906_6463907	m6A	317.5	AT5G19220	3'UTR	174.2862776	123.742501401049	0.0193398520109469	medium	71
2_9015279_9015280	m6A	97	AT2G20990	CDS	546.0038138	128.870499693305	0.0588322240788596	long	103
5_21868751_21868752	m6A	54.5	AT5G53860	3'UTR	125.0451834	68.3489399128814	0.128373642131827	long	117
4_5777334_5777335	m6A	527	AT4G09000	3'UTR	165.5284351	336.711190707796	0.00509519655756761	long	109
3_4009695_4009696	m6A	35	AT3G12620	CDS	434.3262934	20.9221102193913	0.177064106755563	long	110
3_21076718_21076719	m6A	1469	AT3G56940	CDS	129.529392	1350.88323489252	0.00639864880676496	long	159
2_13213464_13213465	m6A	22.5	AT2G31060	3'UTR	1139.165049	19.9280364909634	0.2203849071153	short	17
1_23472021_23472022	m6A	65.5	AT1G63290	3'UTR	238.5810759	31.3760943454599	0.222782019398471	short	20
2_7989587_7989588	m6A	54.5	AT2G18400	3'UTR	810.9405682	31.3478104109518	0.297966080996949	medium	70
5_25697526_25697527	m6A	108	AT5G64250	3'UTR	108.8410315	50.607038420331	0.0789263253704614	medium	78
4_14886247_14886248	m6A	116	AT4G30450	3'UTR	98.7560523	30.6507179948595	0.0230555555555556	medium	69
4_18520185_18520186	m6A	119	AT4G39940	CDS	61.20804528	177.244841192818	0.00886733672003234	long	121
4_8022210_8022211	m6A	141.5	AT4G13850	3'UTR	246.8947318	164.323950733576	0.00585175948594653	medium	91
4_456329_456330	m6A	443.5	AT4G01050	CDS	280.0830255	243.920892949077	0.0196030155871248	short	15
3_8509269_8509270	m6A	28.5	AT3G23640	CDS	194.5590378	17.4852780716558	0.356168029998675	long	105
2_5539781_5539782	m6A	2064	AT2G13360	CDS	129.0087206	721.500478231756	0.00421419430197129	short	45
1_25757559_25757560	m6A	592	AT1G68590	3'UTR	156.244507	309.675477069143	0.00238346231914526	short	0
2_10862322_10862323	m6A	19	AT2G25520	3'UTR	334.0605381	95.2354925028404	0.0827601954092698	short	38
3_510070_510071	m6A	1494.5	AT3G02470	5'UTR	NA	531.876277355991	0.00321721130860689	medium	92
5_651700_651701	m6A	143	AT5G02840	3'UTR	60.13733105	35.6090126800663	0.0677737651147216	long	128
3_23227847_23227848	m6A	59	AT3G62810	CDS	481.6481654	40.906714579371	0.0181061628430049	short	29
1_7007833_7007834	m6A	46	AT1G20225	3'UTR	303.9871562	39.3590361177128	0.249699037052633	long	164
3_5802831_5802832	m6A	170	AT3G17020	CDS	5476.984242	139.465903491914	0.113774729038351	short	13
3_5347869_5347870	m6A	66	AT3G15810	3'UTR	43.76474639	60.0528068507176	0.0861261782838549	short	14
2_19447036_19447037	m6A	2714	AT2G47400	CDS	236.6130615	1509.78220602151	0.00260143800029848	medium	95
5_4945464_4945465	m6A	293	AT5G15230	CDS	66.44087369	219.743728145931	0.00562876441486146	short	34
3_14199394_14199395	m6A	1529	AT3G41768	intergenic	NA	4648.60337962571	0.056779131332087	short	43
5_1277_1278	m6A	26	AT5G01010	3'UTR	376.0523866	33.1662542607587	0.161873431293474	short	34
4_17830543_17830544	m6A	28.5	AT4G37925	3'UTR	46.9638997	71.656426345009	0.00820243153519197	short	31
5_291212_291213	m6A	284	AT5G01750	3'UTR	531.2007206	260.836356309926	0.0198036261312147	medium	77
3_15664597_15664598	m6A	216.5	AT3G43810	3'UTR	2418.900352	131.824436944081	0.00787274287812573	medium	86
5_4945464_4945465	m6A	293	AT5G15230	CDS	66.44087369	219.743728145931	0.00562876441486146	medium	83
5_6780292_6780293	m6A	34.5	AT5G20070	CDS	190.5340365	55.2097159138647	0.0225496181866295	short	49
4_842205_842206	m6A	138.5	AT4G01940	CDS	282.6159988	80.4342713424374	0.0724594227961766	short	27
5_21983432_21983433	m6A	540	AT5G54160	CDS	202.5194511	308.251112046483	0.00480746816553675	short	8
5_22097237_22097238	m6A	53.5	AT5G54430	3'UTR	1460.930897	68.3206559783733	0.0143596461911867	medium	51
2_13387035_13387036	m6A	24.5	AT2G31400	3'UTR	1222.763376	92.9079378318866	0.0842208732848412	long	154
5_4617702_4617703	m6A	426.5	AT5G14320	3'UTR	492.8049392	447.21490208676	0.0120216034780013	long	126
3_6747031_6747032	m6A	257	AT3G19450	3'UTR	103.3858439	94.2272768071583	0.0119804632259573	long	134
5_17979652_17979653	m6A	387	AT5G44580	CDS	709.2873552	249.123737098245	0.00835202140171714	medium	81
4_15245825_15245826	m6A	11	AT4G31410	3'UTR	74.77656791	4.74409716607442	0.317721345070969	long	196
3_3165477_3165478	m6A	90.5	AT3G10230	CDS	84.29821207	47.8787081966624	0.0461257769880727	short	17
5_21286901_21286902	m6A	83.5	AT5G52440	CDS	175.2740791	79.7545718656158	0.0103125663977659	medium	75
5_5215465_5215466	m6A	10.5	AT5G15980	3'UTR	141.593079	17.1013769454744	0.148744588744589	long	132
3_18922130_18922131	m6A	30	AT3G50910	3'UTR	448.9242513	18.1095926411565	0.23415282357037	medium	97
3_4924573_4924574	m6A	87.5	AT3G14650	3'UTR	37.50908922	58.9173134497489	0.0619400987966	medium	56
3_18504811_18504812	m6A	12	AT3G49910	3'UTR	204.5225086	794.775626979685	0.00651323098862025	medium	94
2_7564896_7564897	m6A	133	AT2G17420	CDS	457.243995	95.1930666010781	0.00668711536663047	short	12
5_2019130_2019131	m6A	13.5	AT5G06600	3'UTR	2060.008538	47.085354469071	0.0471132376395534	short	0
3_21076718_21076719	m6A	1469	AT3G56940	CDS	129.529392	1350.88323489252	0.00639864880676496	short	38
5_2180520_2180521	m6A	273.5	AT5G07020	3'UTR	316.2301305	210.285885758611	0.0152612627135166	long	111
4_16972862_16972863	m6A	218.5	AT4G35830	3'UTR	2160.979411	176.709514447485	0.050501916917142	medium	69
1_29484446_29484447	m6A	604	AT1G78370	CDS	508.876562	628.568392486	0.00355469829057194	medium	54
1_19175716_19175717	m6A	47	AT1G51710	3'UTR	571.3947353	39.9974926544675	0.275528231683824	medium	75
3_22251272_22251273	m6A	38.5	AT3G60210	3'UTR	439.7414654	83.7450087465816	0.0191078461144909	medium	96
1_11601821_11601822	m6A	62.5	AT1G32200	3'UTR	163.174097	47.6106752677931	0.128116430534996	medium	84
5_453085_453086	m6A	164.5	AT5G02240	3'UTR	9.50415e+19	131.341542047121	0.0907391563995308	long	142
1_7181225_7181226	m6A	189	AT1G20696	3'UTR	825.8663816	175.089058139235	0.0113120668033045	medium	79
1_16648582_16648583	m6A	23.5	AT1G43890	3'UTR	174.5304782	63.9442499609049	0.297773955128612	short	26
3_20878612_20878613	m6A	188.5	AT3G56290	3'UTR	77.74640809	223.936288589096	0.0491163069884039	medium	87
2_9015279_9015280	m6A	97	AT2G20990	CDS	546.0038138	128.870499693305	0.0588322240788596	medium	69
5_21413904_21413905	m6A	170	AT5G52840	CDS	1264.279009	136.561873490887	0.00721142419885775	medium	87
5_21868751_21868752	m6A	54.5	AT5G53860	3'UTR	125.0451834	68.3489399128814	0.128373642131827	medium	99
3_20878612_20878613	m6A	188.5	AT3G56290	3'UTR	77.74640809	223.936288589096	0.0491163069884039	medium	63
1_21765517_21765518	m6A	32	AT1G58602	3'UTR	27.09441322	22.8254058727227	0.168502443756598	medium	98
5_23207044_23207045	m6A	677.5	AT5G57290	3'UTR	834.7587898	432.320946704697	0.075105674239608	medium	52
4_13916042_13916043	m6A	278.5	AT4G27960	3'UTR	625.7934374	134.523818784283	0.0115528412290524	short	48
5_22264697_22264698	m6A	160.5	AT5G54810	3'UTR	649.4033435	128.074413506434	0.0329607728813241	medium	89
3_21995842_21995843	m6A	646	AT3G59540	3'UTR	257.803111	508.224433351567	0.0459187678950603	long	126
5_1480027_1480028	m6A	73.5	AT5G05010	3'UTR	443.3879851	82.9227066355238	0.213641725597804	short	34
5_7682782_7682783	m6A	40.5	AT5G22950	3'UTR	271.047696	25.1974544557599	0.169601583981011	short	25
1_17908438_17908439	m6A	184.5	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	short	16
5_17969505_17969506	m6A	58.5	AT5G44572	3'UTR	145.991225	21.689912471754	0.0505698005698006	short	17
1_5726550_5726551	m6A	97	AT1G16730	3'UTR	117.3477973	38.1337135189909	0.0892906506761358	short	30
4_8242663_8242664	m6A	606.5	AT4G14320	3'UTR	683.2563446	452.861223808229	0.0160936228093785	medium	74
1_5779236_5779237	m6A	14	AT1G16900	3'UTR	94.31683628	14.2322914982233	0.339637966200466	long	156
2_11167148_11167149	m6A	22	AT2G26230	3'UTR	343.6078056	25.6662073854657	0.23278786989771	short	28
1_17647257_17647258	m6A	11.5	AT1G47900	3'UTR	130.2438165	12.2865699431296	0.44363292957043	long	161
3_18504811_18504812	m6A	12	AT3G49910	3'UTR	204.5225086	794.775626979685	0.00651323098862025	short	43
1_25236726_25236727	m6A	165.5	AT1G67350	3'UTR	731.3136223	128.345178894583	0.1148619814397	long	111
3_5802831_5802832	m6A	170	AT3G17020	CDS	5476.984242	139.465903491914	0.113774729038351	short	48
5_19406183_19406184	m6A	15	AT5G47930	3'UTR	282.9543214	416.171217585889	0.0470373839621195	medium	73
5_4825339_4825340	m6A	155	AT5G14910	3'UTR	288.7342105	215.399742083613	0.00673373533920963	medium	88
3_7771984_7771985	m6A	99	AT3G22060	CDS	459.7728238	54.2177101957579	0.0342939460300783	short	18
1_25571625_25571626	m6A	24.5	AT1G68220	3'UTR	223.795266	29.0040457624227	0.301685200330694	medium	52
4_458177_458178	m6A	523	AT4G01050	3'UTR	280.0830255	243.920892949077	0.0196030155871248	short	8
1_19991393_19991394	m6A	72	AT1G53580	3'UTR	353.7744758	59.6547637572822	0.0104437229437229	long	160
4_8022210_8022211	m6A	141.5	AT4G13850	3'UTR	246.8947318	164.323950733576	0.00585175948594653	short	34
5_17980266_17980267	m6A	436	AT5G44580	3'UTR	709.2873552	249.123737098245	0.00835202140171714	short	35
1_9207300_9207301	m6A	302.5	AT1G26630	3'UTR	9.89092e+19	1160.4084479712	0.00375641418183107	medium	59
1_18591389_18591390	m6A	134	AT1G50200	3'UTR	606.9636836	96.3589119468762	0.0406476394032204	long	107
2_11167148_11167149	m6A	22	AT2G26230	3'UTR	343.6078056	25.6662073854657	0.23278786989771	medium	71
5_24121647_24121648	m6A	747	AT5G59880	3'UTR	1418.973769	357.437749710443	0.00360959636718216	long	115
1_24540680_24540681	m6A	685.5	AT1G65930	CDS	348.4411429	270.239698838551	0.00554790820337998	short	18
2_7089070_7089071	m6A	22.5	AT2G16380	3'UTR	278.2642185	6.16449792244593	0.192089230636469	short	34
3_2204800_2204801	m6A	14.5	AT3G06980	3'UTR	103.5350669	31.2912425419355	0.150796180648748	long	161
5_9209684_9209685	m6A	764	AT5G26280	CDS	339.7892758	120.487446817295	0.00620322383549336	short	14
4_8520059_8520060	m6A	399.5	AT4G14880	5'UTR	63597432401	329.185296222808	0.00959404774664454	medium	82
1_9741026_9741027	m6A	691.5	AT1G27950	CDS	249.3611025	522.129391592625	0.00889737966858013	short	6
2_15168757_15168758	m6A	226	AT2G36145	CDS	185.0464089	93.516042423812	0.0907461865505856	short	26
1_28009618_28009619	m6A	23.5	AT1G74530	3'UTR	144.5791869	17.1862287489989	0.106557662097828	long	155
3_20480421_20480422	m6A	33.5	AT3G55250	3'UTR	135.1451102	63.1643737516094	0.0819481538951179	short	39
1_23935466_23935467	m6A	58	AT1G64430	CDS	81.72170759	24.7569854605623	0.0780078604856393	long	105
5_4388346_4388347	m6A	1237.5	AT5G13630	CDS	267.9811755	724.016014497652	0.00216570457661676	long	123
3_20501646_20501647	m6A	219.5	AT3G55280	3'UTR	187.6398134	205.543856602858	0.111201730809813	short	34
2_17376248_17376249	m6A	196	AT2G41680	3'UTR	359.8625567	82.2680401211937	0.0434723864719994	short	19
2_1823408_1823409	m6A	7795.5	AT2G05100	3'UTR	126.7452105	3099.94157307662	0.000740499311964253	short	27
5_19771926_19771927	m6A	85.5	AT5G48760	CDS	114.0101284	108.019099310184	0.0666812881439527	short	44
3_17088588_17088589	m6A	230	AT3G46430	3'UTR	298.8434234	142.179427299371	0.0770418294287017	medium	51
2_13829281_13829282	m6A	47	AT2G32580	3'UTR	375.5257908	49.0735019259269	0.0278250761179606	medium	93
5_3374469_3374470	m6A	29.5	AT5G10690	CDS	78.37844217	20.8231164486128	0.225403158255138	medium	57
3_3165477_3165478	m6A	90.5	AT3G10230	CDS	84.29821207	47.8787081966624	0.0461257769880727	short	24
2_11343542_11343543	m6A	134	AT2G26670	3'UTR	418.7844633	82.4377437282427	0.0980528722986354	long	106
2_11216610_11216611	m6A	72	AT2G26340	3'UTR	154.0756189	62.8087565599362	0.0822828628995351	long	129
5_4825256_4825257	m6A	270	AT5G14910	3'UTR	288.7342105	215.399742083613	0.00673373533920963	long	148
2_15479625_15479626	m6A	495	AT2G36880	3'UTR	702.8733957	351.570233100333	0.00927651331305247	medium	100
1_6773459_6773460	m6A	477.5	AT1G19570	3'UTR	641.3312466	641.119523786315	0.0117113376667393	medium	100
3_5594267_5594268	m6A	591	AT3G16460	CDS	564.909565	182.169037038953	0.00385564922875592	long	152
1_9498229_9498230	m6A	166.5	AT1G27350	3'UTR	723.3057294	103.729613106561	0.00673469387755102	long	152
4_5849588_5849589	m6A	36.5	AT4G09180	3'UTR	86.00730775	8.55068847273722	0.15280051302081	long	122
3_2991476_2991477	m6A	82.5	AT3G09740	3'UTR	1816.322567	77.467375086103	0.018280065025897	medium	83
1_16648582_16648583	m6A	23.5	AT1G43890	3'UTR	174.5304782	63.9442499609049	0.297773955128612	short	32
4_458177_458178	m6A	523	AT4G01050	3'UTR	280.0830255	243.920892949077	0.0196030155871248	short	31
4_842205_842206	m6A	138.5	AT4G01940	CDS	282.6159988	80.4342713424374	0.0724594227961766	medium	71
2_10901329_10901330	m6A	40.5	AT2G25610	3'UTR	308.2136783	66.0617431333687	0.0193434492081364	medium	84
1_20431937_20431938	m6A	79	AT1G54740	3'UTR	47.1492803	18.5783455708623	0.047051031361791	long	103
1_17908432_17908433	m6A	130	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	short	24
1_5726550_5726551	m6A	97	AT1G16730	3'UTR	117.3477973	38.1337135189909	0.0892906506761358	short	17
5_22935763_22935764	m6A	656.5	AT5G56670	CDS	374.8059245	457.203455363321	0.0418941086918022	long	141
3_2049021_2049022	m6A	25	AT3G06580	3'UTR	694.2470801	19.0753824350762	0.0845627691022428	short	34
5_22688321_22688322	m6A	196	AT5G56030	CDS	258.4720013	185.104641280427	0.00968253955600934	long	111
5_4825339_4825340	m6A	155	AT5G14910	3'UTR	288.7342105	215.399742083613	0.00673373533920963	long	115
3_5430944_5430945	m6A	117	AT3G16000	3'UTR	108.9752595	64.6837682787594	0.0977125619226624	long	160
1_2846985_2846986	m6A	101	AT1G08880	3'UTR	54.48236989	137.421188166042	0.0189872186600168	medium	64
3_18166862_18166863	m6A	711	AT3G49010	3'UTR	201.8866983	591.648312871946	0.00684930646898011	long	130
4_10036417_10036418	m6A	827	AT4G18100	CDS	226.2799112	703.615423161335	0.00317533188873421	long	142
1_1189812_1189813	m6A	918.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	medium	82
1_21379830_21379831	m6A	239	AT1G57720	CDS	4018.543487	261.761788212405	0.00585548088434891	long	113
5_650244_650245	m6A	90	AT5G02840	CDS	60.13733105	35.6090126800663	0.0677737651147216	long	123
2_10829980_10829981	m6A	88.5	AT2G25450	3'UTR	290.703745	401.678166646128	0.00364949713872246	medium	84
1_22812595_22812596	m6A	13	AT1G61770	3'UTR	134.2665688	31.390236312714	0.274113647739468	long	147
5_985805_985806	m6A	62	AT5G03760	3'UTR	248.0697152	59.0870170567978	0.0603636118349329	medium	55
2_9830213_9830214	m6A	1096	AT2G23090	CDS	6.40289e+19	564.369088032294	0.0040895879164915	long	155
5_6956781_6956782	m6A	95	AT5G20570	3'UTR	211.698709	90.1944140244303	0.167441024191234	medium	86
5_18663002_18663003	m6A	227	AT5G46020	3'UTR	30906.15847	143.712963793775	0.093408377329936	medium	74
3_23235478_23235479	m6A	94	AT3G62830	3'UTR	411.2919536	49.598822724649	0.0303883856646956	medium	62
4_12708832_12708833	m6A	111.5	AT4G24620	3'UTR	359.5303016	75.1801783065903	0.154592681780022	long	124
2_9451640_9451641	m6A	64.5	AT2G22240	3'UTR	485.6702077	59.0587331222897	0.113771601391667	medium	62
4_18162983_18162984	m6A	27	AT4G38960	CDS	35.99171067	8.55068847273722	0.192056592397092	long	119
2_15472819_15472820	m6A	78.5	AT2G36870	3'UTR	241.9338819	107.52206244597	0.0433888343346391	short	43
4_8048777_8048778	m6A	194	AT4G13930	CDS	585.9739954	302.040052201633	0.00798490966841809	short	39
1_17908432_17908433	m6A	130	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	long	120
5_8865385_8865386	m6A	295	AT5G25460	CDS	228.8941521	159.777841109059	0.00650757849383159	short	28
1_5515893_5515894	m6A	236	AT1G16080	3'UTR	158.0484817	126.213543754865	0.011990204157745	long	123
2_10576861_10576862	m6A	161.5	AT2G24820	3'UTR	145.5680576	86.12291566956	0.0255471697909833	short	12
1_17282976_17282977	m6A	778	AT1G47128	3'UTR	77.68508725	292.652919650584	0.00256278337828697	short	16
2_10862322_10862323	m6A	19	AT2G25520	3'UTR	334.0605381	95.2354925028404	0.0827601954092698	medium	78
1_7957893_7957894	m6A	40.5	AT1G22530	CDS	312.6302577	30.0122614581047	0.0540453999871342	short	45
2_13528332_13528333	m6A	71.5	AT2G31810	3'UTR	110.8726072	38.4073882910471	0.0258673389815076	short	10
5_627090_627091	m6A	16.5	AT5G02770	3'UTR	119.6589931	54.08836448015	0.221454065716701	short	26
5_22264697_22264698	m6A	160.5	AT5G54810	3'UTR	649.4033435	128.074413506434	0.0329607728813241	medium	59
2_11763272_11763273	m6A	32.5	AT2G27530	3'UTR	208.2161854	390.064541205225	0.00268472581834737	long	139
5_26061388_26061389	m6A	928.5	AT5G65220	CDS	249.65552	567.014469096029	0.00218221227714483	medium	90
2_11764016_11764017	m6A	561	AT2G27530	CDS	208.2161854	390.064541205225	0.00268472581834737	short	21
1_1190529_1190530	m6A	685.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	long	104
1_5489909_5489910	m6A	252	AT1G15980	CDS	137.2240473	142.519889110018	0.0210528213658543	short	45
1_12030514_12030515	m6A	18	AT1G33170	3'UTR	285.9207041	18.5217777018459	0.26469412641172	short	28
3_8475841_8475842	m6A	44	AT3G23600	3'UTR	3094.049588	140.615538860137	0.0310700969876962	short	35
3_22333576_22333577	m6A	22	AT3G60410	3'UTR	93.74283329	11.9026688169483	0.281541157525812	long	113
1_6213898_6213899	m6A	133	AT1G18070	3'UTR	359.8225364	88.5618837592476	0.101122216509206	medium	56
2_15479625_15479626	m6A	495	AT2G36880	3'UTR	702.8733957	351.570233100333	0.00927651331305247	medium	70
4_8093189_8093190	m6A	90.5	AT4G14010	CDS	111.2831861	0	0.0113083420027646	short	11
3_20453124_20453125	m6A	82.5	AT3G55170	3'UTR	245.7133579	61.9985284058112	0.152526938835803	short	20
2_15197497_15197498	m6A	49.5	AT2G36250	3'UTR	6931.471806	44.1738431200576	0.174995143336543	long	156
4_5777334_5777335	m6A	527	AT4G09000	3'UTR	165.5284351	336.711190707796	0.00509519655756761	medium	66
2_10862322_10862323	m6A	19	AT2G25520	3'UTR	334.0605381	95.2354925028404	0.0827601954092698	short	40
4_2326882_2326883	m6A	115.5	AT4G04610	3'UTR	526.6103071	133.798442433682	0.0242695134536782	medium	70
1_30109206_30109207	m6A	18.5	AT1G80040	3'UTR	138.8822797	41.8442204387826	0.0299209052159485	short	34
3_21076718_21076719	m6A	1469	AT3G56940	CDS	129.529392	1350.88323489252	0.00639864880676496	long	138
5_650244_650245	m6A	90	AT5G02840	CDS	60.13733105	35.6090126800663	0.0677737651147216	long	220
2_12168983_12168984	m6A	87	AT2G28470	3'UTR	381.1050919	65.2515149792438	0.0269288148095403	short	10
4_10775826_10775827	m6A	106	AT4G19840	3'UTR	371.902062	75.0529006013036	0.0289129674071588	long	139
3_21101582_21101583	m6A	31	AT3G57030	3'UTR	270.7655923	33.7622848957512	0.210386712648962	medium	66
1_9207300_9207301	m6A	302.5	AT1G26630	3'UTR	9.89092e+19	1160.4084479712	0.00375641418183107	medium	60
2_9015279_9015280	m6A	97	AT2G20990	CDS	546.0038138	128.870499693305	0.0588322240788596	short	31
5_22097237_22097238	m6A	53.5	AT5G54430	3'UTR	1460.930897	68.3206559783733	0.0143596461911867	short	31
2_11763272_11763273	m6A	32.5	AT2G27530	3'UTR	208.2161854	390.064541205225	0.00268472581834737	medium	62
4_8242732_8242733	m6A	562	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	short	27
4_15669548_15669549	m6A	450.5	AT4G32470	3'UTR	199.1848196	267.44132322757	0.0256633135313222	long	125
2_14464684_14464685	m6A	291.5	AT2G34250	3'UTR	629.2548478	188.157572301981	0.0305299224997955	medium	77
4_9829618_9829619	m6A	31	AT4G17650	3'UTR	225.675162	33.1238283589965	0.141872828737944	short	10
4_13055433_13055434	m6A	308	AT4G25570	CDS	366.7357309	127.066197810752	0.0304239700107347	medium	52
2_973468_973469	m6A	18	AT2G03240	3'UTR	41.4867819	12.3855637139082	0.259421530850102	short	39
3_5213646_5213647	m6A	511	AT3G15450	CDS	41.50455018	40.0682024907379	0.0042874633638264	short	14
2_19502106_19502107	m6A	81.5	AT2G47510	3'UTR	2809.999564	67.5811376605188	0.110727063093487	short	14
2_12168983_12168984	m6A	87	AT2G28470	3'UTR	381.1050919	65.2515149792438	0.0269288148095403	long	108
3_18159841_18159842	m6A	266	AT3G48990	CDS	190.1286699	229.733095362936	0.00873217814750389	short	47
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	short	19
2_14660317_14660318	m6A	17.5	AT2G34750	3'UTR	96.48784317	48.3926194874099	0.216862164096476	short	49
4_456329_456330	m6A	443.5	AT4G01050	CDS	280.0830255	243.920892949077	0.0196030155871248	long	115
2_10829980_10829981	m6A	88.5	AT2G25450	3'UTR	290.703745	401.678166646128	0.00364949713872246	long	103
1_21356470_21356471	m6A	397	AT1G57660	3'UTR	229.1326161	321.055634480169	0.0345885583776634	short	39
4_458177_458178	m6A	523	AT4G01050	3'UTR	280.0830255	243.920892949077	0.0196030155871248	medium	61
2_7303993_7303994	m6A	45	AT2G16860	3'UTR	217.4190808	27.9816880994866	0.154875090788129	long	114
3_5802831_5802832	m6A	170	AT3G17020	CDS	5476.984242	139.465903491914	0.113774729038351	short	26
3_4565561_4565562	m6A	74.5	AT3G13870	3'UTR	410.58405	65.110095306703	0.213615769627334	medium	71
1_28152008_28152009	m6A	108	AT1G74960	3'UTR	255.2546172	68.7894089080791	0.0142947496458268	medium	61
2_7303993_7303994	m6A	45	AT2G16860	3'UTR	217.4190808	27.9816880994866	0.154875090788129	long	119
5_23079829_23079830	m6A	65	AT5G57030	3'UTR	77.80634541	44.6850219515256	0.124055030716417	medium	52
4_8048777_8048778	m6A	194	AT4G13930	CDS	585.9739954	302.040052201633	0.00798490966841809	medium	88
1_6213898_6213899	m6A	133	AT1G18070	3'UTR	359.8225364	88.5618837592476	0.101122216509206	short	17
1_5489909_5489910	m6A	252	AT1G15980	CDS	137.2240473	142.519889110018	0.0210528213658543	short	24
2_1589961_1589962	m6A	30	AT2G04550	3'UTR	56.67570008	12.4138476484163	0.226956195024629	medium	69
4_5636616_5636617	m6A	57.5	AT4G08850	3'UTR	78.18317463	47.8248727869255	0.0325369075369075	short	38
1_1190529_1190530	m6A	685.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	medium	78
3_3860397_3860398	m6A	204.5	AT3G12120	3'UTR	240.7928411	715.271474504	0.0174929868238143	medium	70
5_291212_291213	m6A	284	AT5G01750	3'UTR	531.2007206	260.836356309926	0.0198036261312147	medium	62
1_27764384_27764385	m6A	27.5	AT1G73840	CDS	95.09294806	21.3908631490971	0.24789226271334	short	8
3_8474530_8474531	m6A	268	AT3G23600	CDS	3094.049588	140.615538860137	0.0310700969876962	medium	63
3_20878612_20878613	m6A	188.5	AT3G56290	3'UTR	77.74640809	223.936288589096	0.0491163069884039	long	112
4_12221839_12221840	m6A	528.5	AT4G23400	CDS	176.4289716	124.296106134279	0.0116872667062228	short	36
1_1431524_1431525	m6A	606.5	AT1G05010	CDS	111.4512966	271.848081189868	0.00340643096403911	medium	76
2_11764016_11764017	m6A	561	AT2G27530	CDS	208.2161854	390.064541205225	0.00268472581834737	medium	86
5_3916882_3916883	m6A	43.5	AT5G12120	CDS	61.01133275	26.955021232959	0.114330399377601	medium	51
2_11343542_11343543	m6A	134	AT2G26670	3'UTR	418.7844633	82.4377437282427	0.0980528722986354	medium	74
4_8242732_8242733	m6A	562	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	short	21
3_8195563_8195564	m6A	270	AT3G23050	CDS	435.2486518	125.049766419388	0.00615640867405947	medium	67
5_20878688_20878689	m6A	74	AT5G51400	3'UTR	71.1483649	48.0652862302449	0.145707887908213	short	19
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	medium	75
3_20878612_20878613	m6A	188.5	AT3G56290	3'UTR	77.74640809	223.936288589096	0.0491163069884039	short	21
4_8242663_8242664	m6A	606.5	AT4G14320	3'UTR	683.2563446	452.861223808229	0.0160936228093785	long	106
5_21286901_21286902	m6A	83.5	AT5G52440	CDS	175.2740791	79.7545718656158	0.0103125663977659	long	112
3_10672205_10672206	m6A	16	AT3G28460	3'UTR	138.1090301	18.9622466970436	0.218584014383866	medium	80
1_18504246_18504247	m6A	199.5	AT1G49970	CDS	562.4145598	120.212281710059	0.108507602471258	medium	65
5_6464175_6464176	m6A	330.5	AT5G19220	CDS	174.2862776	123.742501401049	0.0193398520109469	medium	66
5_19091811_19091812	m6A	430.5	AT5G47030	CDS	1.77444e+20	316.799732508899	0.0209705459970763	long	124
3_17088588_17088589	m6A	230	AT3G46430	3'UTR	298.8434234	142.179427299371	0.0770418294287017	medium	80
5_4388346_4388347	m6A	1237.5	AT5G13630	CDS	267.9811755	724.016014497652	0.00216570457661676	short	48
2_1823408_1823409	m6A	7795.5	AT2G05100	3'UTR	126.7452105	3099.94157307662	0.000740499311964253	medium	56
5_23356828_23356829	m6A	253.5	AT5G57660	3'UTR	37.60017162	87.6223098895148	0.0160981665030126	short	49
5_17980266_17980267	m6A	436	AT5G44580	3'UTR	709.2873552	249.123737098245	0.00835202140171714	short	20
1_2463275_2463276	m6A	561.5	AT1G07940	3'UTR	3834.575893	438.573951200136	0.0160510727398307	short	14
